Age,Workclass,Education,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per week,Country,Target
Age>48.00,Self-emp-not-inc,HighSchoolgrad,Married,Sales,Husband,White,Male,High,None,40.00<Hoursperweek<=45.00,United-States,Morethan$50k
Age>48.00,Self-emp-not-inc,HighSchoolgrad,Married,Sales,Husband,White,Male,High,None,40.00<Hoursperweek<=45.00,United-States,Morethan$50k
37.00<Age<=48.00,State-gov,Doctorate,Never-Married,White-Collar,Not-in-family,White,Female,None,None,Hoursperweek<=40.00,Euro_1,Morethan$50k
28.00<Age<=37.00,Private,HighSchoolgrad,Separated,Blue-Collar,Not-in-family,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
28.00<Age<=37.00,Private,HighSchoolgrad,Separated,Blue-Collar,Not-in-family,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
28.00<Age<=37.00,Private,HighSchoolgrad,Separated,Blue-Collar,Not-in-family,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
28.00<Age<=37.00,Private,HighSchoolgrad,Separated,Blue-Collar,Not-in-family,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
28.00<Age<=37.00,Private,HighSchoolgrad,Separated,Blue-Collar,Not-in-family,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
28.00<Age<=37.00,Private,HighSchoolgrad,Separated,Blue-Collar,Not-in-family,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
28.00<Age<=37.00,Private,HighSchoolgrad,Separated,Blue-Collar,Not-in-family,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
28.00<Age<=37.00,Private,HighSchoolgrad,Separated,Blue-Collar,Not-in-family,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
28.00<Age<=37.00,Private,HighSchoolgrad,Separated,Blue-Collar,Not-in-family,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
28.00<Age<=37.00,Private,HighSchoolgrad,Separated,Blue-Collar,Not-in-family,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
28.00<Age<=37.00,Private,HighSchoolgrad,Separated,Blue-Collar,Not-in-family,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
28.00<Age<=37.00,Private,HighSchoolgrad,Separated,Blue-Collar,Not-in-family,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
28.00<Age<=37.00,Private,HighSchoolgrad,Separated,Blue-Collar,Not-in-family,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
28.00<Age<=37.00,Private,HighSchoolgrad,Separated,Blue-Collar,Not-in-family,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
28.00<Age<=37.00,Private,HighSchoolgrad,Separated,Blue-Collar,Not-in-family,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
28.00<Age<=37.00,Private,HighSchoolgrad,Separated,Blue-Collar,Not-in-family,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
28.00<Age<=37.00,Private,HighSchoolgrad,Separated,Blue-Collar,Not-in-family,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
28.00<Age<=37.00,Private,HighSchoolgrad,Separated,Blue-Collar,Not-in-family,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
28.00<Age<=37.00,Private,HighSchoolgrad,Separated,Blue-Collar,Not-in-family,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
28.00<Age<=37.00,Private,Dropout,Married,Sales,Husband,White,Male,None,None,Hoursperweek<=40.00,United-States,Lessthan$50k
28.00<Age<=37.00,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,Hoursperweek<=40.00,Latin-America,Lessthan$50k
28.00<Age<=37.00,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,Hoursperweek<=40.00,Latin-America,Lessthan$50k
28.00<Age<=37.00,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,Hoursperweek<=40.00,Latin-America,Lessthan$50k
28.00<Age<=37.00,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,Hoursperweek<=40.00,Latin-America,Lessthan$50k
28.00<Age<=37.00,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,Hoursperweek<=40.00,Latin-America,Lessthan$50k
28.00<Age<=37.00,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,Hoursperweek<=40.00,Latin-America,Lessthan$50k
28.00<Age<=37.00,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,Hoursperweek<=40.00,Latin-America,Lessthan$50k
28.00<Age<=37.00,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,Hoursperweek<=40.00,Latin-America,Lessthan$50k
28.00<Age<=37.00,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,Hoursperweek<=40.00,Latin-America,Lessthan$50k
28.00<Age<=37.00,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,Hoursperweek<=40.00,Latin-America,Lessthan$50k
28.00<Age<=37.00,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,Hoursperweek<=40.00,Latin-America,Lessthan$50k
28.00<Age<=37.00,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,Hoursperweek<=40.00,Latin-America,Lessthan$50k
